aircraft_Id; maximum_temperature_deviation_in_flight; minimum_temperature_deviation_in_flight; maximum_temperature_deviation_in_TOLD; minimum_temperature_deviation_in_TOLD
B73518;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4|8501.0 : 34.0|37000.0 : 34.0;-1000.0 : -71.0|0.0 : -69.0|1.0 : -89.0|36089.0 : -17.5|41000.0 : -17.5;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4;-1000.0 : -71.0|8500.0 : -52.0
B712;-2000.0 : 31.0|0.0 : 35.0|36089.0 : 34.5|37000.0 : 33.5;-2000.0 : -73.0|0.0 : -69.0|36089.0 : -18.5|37000.0 : -19.5;-2000.0 : 31.0|2500.0 : 40.0|8500.0 : 40.0;-2000.0 : -73.0|8500.0 : -52.0
A346;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 35.0|41500.0 : 24.3;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
A345;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 35.0|41500.0 : 24.3;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
A342;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.5|41100.0 : 24.5|41500.0 : 23.7;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
A343;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.5|41100.0 : 24.5|41500.0 : 23.7;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
EMB-195AR;-1000.0 : 35.0|41000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -8.5|41000.0 : -8.5;-1000.0 : 35.0|10000.0 : 35.0;-1000.0 : -57.0|10000.0 : -35.2
B763ERGE61;-1000.0 : 37.4|0.0 : 39.4|10000.0 : 39.4|10001.0 : 33.9|36089.0 : 33.9|43100.0 : 20.0;-1000.0 : -71.0|0.0 : -69.0|25000.0 : -36.5|35000.0 : -19.5|36089.0 : -17.5|43100.0 : -17.5;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4;-1000.0 : -71.0|0.0 : -69.0|8500.0 : -52.1
B788RR53;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
A330-203;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.5|41100.0 : 24.5|41500.0 : 23.7;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
A330-321;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.5|41100.0 : 24.5|41500.0 : 23.7;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
B73622;-2000.0 : 35.04|0.0 : 39.4|13500.0 : 39.4|13501.0 : 34.0|36089.0 : 34.0|41000.0 : 24.5;-2000.0 : -72.96|0.0 : -69.0|1.0 : -77.0|36089.0 : -16.5|41000.0 : -16.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -72.96|8500.0 : -52.2
